,sensor,date,class,reason,speed,feat1,feat2,feat3,feat4,feat5,feat6,predicted,user_name,followers_count,verified
0,103048502,1/8/2017 8:43,0,Congestion ,114,1740,0.6,4,30.0,36.0,31.0,2,,0,0
0,103048502,1/8/2017 8:44,0,Congestion ,114,1800,0.6,4,30.0,36.0,31.0,2,,0,0
0,103048502,1/8/2017 8:45,0,Congestion ,113,1860,0.6,4,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 8:46,0,Congestion ,114,1800,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:47,0,Congestion ,114,1800,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:48,0,Congestion ,114,1800,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:49,0,Congestion ,114,1860,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:50,0,Congestion ,114,1860,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:51,0,Congestion ,114,1860,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:52,0,Congestion ,114,1920,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:53,0,Congestion ,114,1920,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:54,0,Congestion ,114,1980,0.5,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:55,0,Congestion ,113,1980,0.5,4,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 8:56,0,Congestion ,114,1980,0.5,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:57,0,Congestion ,114,2040,0.5,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:58,0,Congestion ,114,1980,0.5,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 8:59,0,Congestion ,114,1980,0.5,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:00,0,Congestion ,114,1980,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:01,0,Congestion ,114,1980,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:02,0,Congestion ,114,1980,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:03,0,Congestion ,114,1980,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:04,0,Congestion ,114,1980,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:05,0,Congestion ,116,1920,0.6,4,30.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:06,0,Congestion ,116,1920,0.6,4,30.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:07,0,Congestion ,116,1920,0.6,4,30.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:08,0,Congestion ,116,1920,0.6,4,30.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:09,0,Congestion ,116,1920,0.7,4,30.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:10,0,Congestion ,114,1980,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:11,0,Congestion ,114,1980,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:12,0,Congestion ,114,2040,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:13,0,Congestion ,114,2040,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:14,0,Congestion ,114,2100,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:15,0,Congestion ,114,2160,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:16,0,Congestion ,114,2100,0.6,4,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:17,0,Congestion ,114,2220,0.6,5,30.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:18,0,Congestion ,113,2220,0.6,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:19,0,Congestion ,113,2220,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:20,0,Congestion ,113,2280,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:21,0,Congestion ,113,2280,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:22,0,Congestion ,113,2340,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:23,0,Congestion ,113,2340,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:24,0,Congestion ,113,2340,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:25,0,Congestion ,113,2340,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:26,0,Congestion ,113,2400,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:27,0,Congestion ,113,2400,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:28,0,Congestion ,113,2400,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:29,0,Congestion ,111,2460,0.5,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:30,0,Congestion ,111,2460,0.5,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:31,0,Congestion ,111,2460,0.5,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:32,0,Congestion ,113,2520,0.4,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:33,0,Congestion ,113,2520,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:34,0,Congestion ,113,2460,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:35,0,Congestion ,113,2460,0.4,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:36,0,Congestion ,113,2460,0.4,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:37,0,Congestion ,113,2400,0.4,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:38,0,Congestion ,113,2400,0.5,5,31.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:39,0,Congestion ,111,2400,0.4,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:40,0,Congestion ,111,2460,0.5,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:41,0,Congestion ,111,2460,0.4,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:42,0,Congestion ,111,2460,0.4,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:43,0,Congestion ,111,2460,0.4,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:44,0,Congestion ,111,2460,0.5,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:45,0,Congestion ,111,2460,0.4,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:46,0,Congestion ,111,2460,0.4,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:47,0,Congestion ,111,2460,0.4,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:48,0,Congestion ,109,2460,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:49,0,Congestion ,111,2400,0.5,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:50,0,Congestion ,109,2460,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:51,0,Congestion ,109,2580,0.4,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:52,0,Congestion ,111,2580,0.4,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:53,0,Congestion ,111,2460,0.5,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:54,0,Congestion ,111,2460,0.4,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:55,0,Congestion ,111,2460,0.5,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:56,0,Congestion ,111,2520,0.5,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:57,0,Congestion ,109,2520,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 9:58,0,Congestion ,111,2520,0.4,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 9:59,0,Congestion ,111,2460,0.5,5,31.0,36.0,32.0,2,,0,0
0,103048502,1/8/2017 10:00,0,Congestion ,109,2460,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:01,0,Congestion ,109,2520,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:02,0,Congestion ,109,2580,0.4,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:03,0,Congestion ,109,2580,0.4,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:04,0,Congestion ,109,2460,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:05,0,Congestion ,109,2280,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:06,0,Congestion ,109,2160,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:07,0,Congestion ,109,2220,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:08,0,Congestion ,109,2160,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:09,0,Congestion ,109,2220,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:10,0,Congestion ,108,2160,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:11,0,Congestion ,108,2100,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:12,0,Congestion ,108,2100,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:13,0,Congestion ,108,2160,0.5,5,32.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:14,0,Congestion ,106,2160,0.5,5,33.0,37.0,32.0,2,,0,0
0,103048502,1/8/2017 10:15,0,Congestion ,106,2100,0.5,5,33.0,37.0,33.0,2,,0,0
0,103048502,1/8/2017 10:16,0,Congestion ,106,2100,0.5,5,33.0,37.0,33.0,2,,0,0
0,103048502,1/8/2017 10:17,0,Congestion ,106,2220,0.5,5,33.0,37.0,33.0,2,,0,0
