,sensor,date,class,reason,speed,feat1,feat2,feat3,feat4,feat5,feat6,predicted,user_name,followers_count,verified
0,199121901,1/27/2017 5:44,0,Congestion ,108,1200,1.3,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:45,0,Congestion ,108,1260,1.3,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:46,0,Congestion ,108,1260,1.3,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:47,0,Congestion ,108,1260,1.3,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:48,0,Congestion ,108,1320,1.3,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:49,0,Congestion ,107,1320,1.3,4,107.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:50,0,Congestion ,108,1320,1.3,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:51,0,Congestion ,108,1320,1.2,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:52,0,Congestion ,108,1320,1.2,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:53,0,Congestion ,107,1320,1.2,4,107.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:54,0,Congestion ,108,1380,1.2,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:55,0,Congestion ,108,1440,1.2,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:56,0,Congestion ,108,1440,1.2,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:57,0,Congestion ,108,1500,1.1,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:58,0,Congestion ,108,1500,1.2,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 5:59,0,Congestion ,108,1560,1.1,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:00,0,Congestion ,108,1620,1.1,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:01,0,Congestion ,108,1620,1.1,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:02,0,Congestion ,108,1680,1.1,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:03,0,Congestion ,108,1680,1.1,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:04,0,Congestion ,108,1680,1.1,4,106.0,122.0,113.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:05,0,Congestion ,108,1680,1.1,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:06,0,Congestion ,108,1740,1.0,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:07,0,Congestion ,108,1740,1.0,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:08,0,Congestion ,108,1740,1.0,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:09,0,Congestion ,108,1740,1.0,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:10,0,Congestion ,108,1740,1.0,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:11,0,Congestion ,109,1800,0.9,4,105.0,121.0,112.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:12,0,Congestion ,109,1800,0.9,4,105.0,121.0,112.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:13,0,Congestion ,109,1800,0.9,4,105.0,121.0,112.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:14,0,Congestion ,109,1800,0.9,4,105.0,121.0,112.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:15,0,Congestion ,109,1800,0.9,4,105.0,121.0,112.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:16,0,Congestion ,109,1860,0.9,4,105.0,121.0,112.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:17,0,Congestion ,108,1920,0.8,4,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:18,0,Congestion ,108,1980,0.8,5,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:19,0,Congestion ,108,2040,0.8,5,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:20,0,Congestion ,108,2160,0.8,5,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:21,0,Congestion ,108,2160,0.7,5,106.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:22,0,Congestion ,107,2220,0.7,5,107.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:23,0,Congestion ,107,2280,0.7,5,107.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:24,0,Congestion ,107,2340,0.6,5,107.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:25,0,Congestion ,107,2400,0.6,5,107.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:26,0,Congestion ,107,2400,0.6,5,107.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:27,0,Congestion ,107,2460,0.6,5,107.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:28,0,Congestion ,107,2460,0.6,5,107.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:29,0,Congestion ,106,2520,0.6,6,108.0,121.0,111.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:30,0,Congestion ,106,2580,0.6,5,108.0,121.0,111.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:31,0,Congestion ,106,2640,0.6,6,108.0,121.0,111.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:32,0,Congestion ,106,2700,0.5,6,108.0,121.0,111.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:33,0,Congestion ,106,2820,0.5,6,108.0,121.0,111.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:34,0,Congestion ,105,2880,0.5,6,109.0,122.0,112.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:35,0,Congestion ,105,2940,0.5,6,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:36,0,Congestion ,105,3000,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:37,0,Congestion ,105,3060,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:38,0,Congestion ,105,3120,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:39,0,Congestion ,105,3180,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:40,0,Congestion ,105,3180,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:41,0,Congestion ,105,3180,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:42,0,Congestion ,105,3180,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:43,0,Congestion ,105,3180,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:44,0,Congestion ,105,3240,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:45,0,Congestion ,105,3240,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:46,0,Congestion ,105,3240,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:47,0,Congestion ,104,3300,0.5,7,110.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:48,0,Congestion ,104,3300,0.5,7,110.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:49,0,Congestion ,104,3360,0.5,7,110.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:50,0,Congestion ,104,3300,0.5,7,110.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:51,0,Congestion ,105,3300,0.5,7,109.0,122.0,109.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:52,0,Congestion ,104,3360,0.4,7,110.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:53,0,Congestion ,104,3420,0.4,7,110.0,120.0,110.0,2.0,,0.0,0.0
0,199121901,1/27/2017 6:54,0,Congestion ,104,3540,0.4,8,110.0,120.0,110.0,2.0,,0.0,0.0
