,sensor,date,class,reason,speed,feat1,feat2,feat3,feat4,feat5,feat6,predicted,user_name,followers_count,verified
0,199131002,1/2/2017 8:38,0,Congestion ,116,2280,0.6,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:39,0,Congestion ,116,2280,0.7,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:40,0,Congestion ,117,2340,0.8,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:41,0,Congestion ,117,2400,0.8,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:42,0,Congestion ,117,2340,0.8,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:43,0,Congestion ,117,2400,0.9,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:44,0,Congestion ,117,2400,0.8,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:45,0,Congestion ,117,2340,0.8,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:46,0,Congestion ,117,2340,0.7,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:47,0,Congestion ,117,2340,0.8,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:48,0,Congestion ,116,2400,0.8,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:49,0,Congestion ,116,2460,0.7,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:50,0,Congestion ,116,2460,0.5,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:51,0,Congestion ,116,2400,0.7,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:52,0,Congestion ,116,2520,0.7,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:53,0,Congestion ,116,2460,0.5,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:54,0,Congestion ,116,2520,0.8,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:55,0,Congestion ,116,2520,0.7,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:56,0,Congestion ,116,2520,0.7,4,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:57,0,Congestion ,116,2580,0.7,5,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:58,0,Congestion ,116,2640,0.7,5,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 8:59,0,Congestion ,116,2640,0.7,5,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:00,0,Congestion ,116,2700,0.7,5,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:01,0,Congestion ,116,2700,0.7,5,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:02,0,Congestion ,116,2700,0.5,5,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:03,0,Congestion ,116,2700,0.7,5,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:04,0,Congestion ,116,2700,0.6,5,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:05,0,Congestion ,116,2700,0.7,5,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:06,0,Congestion ,116,2820,0.6,5,30.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:07,0,Congestion ,114,2820,0.6,5,31.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:08,0,Congestion ,114,2820,0.6,5,31.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:09,0,Congestion ,114,2820,0.6,5,31.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:10,0,Congestion ,114,2820,0.6,5,31.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:11,0,Congestion ,114,2820,0.6,5,31.0,37.0,31.0,2.0,,0.0,0.0
0,199131002,1/2/2017 9:12,0,Congestion ,114,2820,0.6,5,31.0,37.0,31.0,2.0,,0.0,0.0
