,sensor,date,class,reason,speed,feat1,feat2,feat3,feat4,feat5,feat6,predicted,user_name,followers_count,verified
0,199065401,1/6/2017 11:44,0,Congestion ,93,3240,0.5,8,301.0,324.0,316.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:45,0,Congestion ,94,3240,0.5,8,297.0,321.0,313.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:46,0,Congestion ,94,3180,0.5,8,297.0,321.0,313.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:47,0,Congestion ,94,3180,0.5,8,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:48,0,Congestion ,94,3180,0.5,8,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:49,0,Congestion ,94,3180,0.5,8,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:50,0,Congestion ,93,3120,0.5,8,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:51,0,Congestion ,93,3120,0.5,8,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:52,0,Congestion ,94,3120,0.5,7,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:53,0,Congestion ,94,3120,0.5,8,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:54,0,Congestion ,94,3180,0.5,8,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:55,0,Congestion ,94,3180,0.5,8,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:56,0,Congestion ,94,3180,0.5,8,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:57,0,Congestion ,94,3180,0.5,8,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:58,0,Congestion ,93,3240,0.4,8,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 11:59,0,Congestion ,93,3240,0.4,8,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:00,0,Congestion ,93,3240,0.5,8,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:01,0,Congestion ,94,3300,0.4,8,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:02,0,Congestion ,94,3300,0.4,8,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:03,0,Congestion ,93,3300,0.4,8,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:04,0,Congestion ,93,3300,0.4,8,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:05,0,Congestion ,93,3240,0.4,8,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:06,0,Congestion ,93,3300,0.4,8,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:07,0,Congestion ,93,3360,0.4,8,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:08,0,Congestion ,93,3360,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:09,0,Congestion ,93,3420,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:10,0,Congestion ,93,3420,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:11,0,Congestion ,93,3480,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:12,0,Congestion ,93,3480,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:13,0,Congestion ,93,3420,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:14,0,Congestion ,93,3420,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:15,0,Congestion ,93,3420,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:16,0,Congestion ,93,3420,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:17,0,Congestion ,93,3420,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:18,0,Congestion ,93,3420,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:19,0,Congestion ,93,3420,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:20,0,Congestion ,93,3420,0.4,9,301.0,324.0,301.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:21,0,Congestion ,93,3420,0.4,9,301.0,324.0,301.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:22,0,Congestion ,93,3420,0.4,9,301.0,324.0,301.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:23,0,Congestion ,93,3360,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:24,0,Congestion ,93,3300,0.5,9,301.0,324.0,301.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:25,0,Congestion ,93,3300,0.4,9,301.0,324.0,308.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:26,0,Congestion ,94,3300,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:27,0,Congestion ,94,3360,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:28,0,Congestion ,94,3360,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:29,0,Congestion ,94,3360,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:30,0,Congestion ,94,3360,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:31,0,Congestion ,94,3360,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:32,0,Congestion ,94,3420,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:33,0,Congestion ,94,3420,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:34,0,Congestion ,94,3420,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:35,0,Congestion ,94,3420,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:36,0,Congestion ,94,3420,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:37,0,Congestion ,94,3480,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
0,199065401,1/6/2017 12:38,0,Congestion ,94,3480,0.4,9,297.0,321.0,305.0,2.0,,0.0,0.0
