,sensor,date,class,reason,speed,feat1,feat2,feat3,feat4,feat5,feat6
0,200045780,1/26/2017 15:34,0,Congestion ,101,6180,0.2,12,71.0,73.0,73.0
1,200045780,1/26/2017 15:35,0,Congestion ,101,6240,0.2,12,71.0,73.0,73.0
2,200045780,1/26/2017 15:36,0,Congestion ,101,6360,0.2,12,71.0,73.0,73.0
3,200045780,1/26/2017 15:37,0,Congestion ,101,6300,0.2,12,71.0,73.0,73.0
4,200045780,1/26/2017 15:38,0,Congestion ,100,6420,0.2,12,72.0,74.0,74.0
5,200045780,1/26/2017 15:39,0,Congestion ,100,6420,0.2,12,72.0,74.0,74.0
6,200045780,1/26/2017 15:40,0,Congestion ,101,6360,0.2,12,71.0,73.0,73.0
7,200045780,1/26/2017 15:41,0,Congestion ,101,6300,0.2,12,71.0,73.0,73.0
8,200045780,1/26/2017 15:42,0,Congestion ,101,6300,0.2,12,71.0,73.0,73.0
9,200045780,1/26/2017 15:43,0,Congestion ,100,6360,0.2,12,72.0,74.0,74.0
10,200045780,1/26/2017 15:44,0,Congestion ,100,6300,0.2,12,72.0,74.0,74.0
11,200045780,1/26/2017 15:45,0,Congestion ,100,6420,0.2,12,72.0,74.0,74.0
12,200045780,1/26/2017 15:46,0,Congestion ,100,6360,0.2,12,72.0,74.0,74.0
13,200045780,1/26/2017 15:47,0,Congestion ,101,6300,0.2,12,71.0,73.0,73.0
14,200045780,1/26/2017 15:48,0,Congestion ,100,6300,0.2,12,72.0,74.0,74.0
15,200045780,1/26/2017 15:49,0,Congestion ,101,6240,0.2,12,71.0,73.0,73.0
16,200045780,1/26/2017 15:50,0,Congestion ,101,6180,0.2,12,71.0,73.0,73.0
17,200045780,1/26/2017 15:51,0,Congestion ,101,6120,0.2,11,71.0,73.0,73.0
18,200045780,1/26/2017 15:52,0,Congestion ,101,6180,0.2,11,71.0,73.0,73.0
19,200045780,1/26/2017 15:53,0,Congestion ,101,6180,0.2,11,71.0,73.0,73.0
20,200045780,1/26/2017 15:54,0,Congestion ,101,6120,0.2,11,71.0,73.0,73.0
21,200045780,1/26/2017 15:55,0,Congestion ,101,6180,0.2,11,71.0,73.0,73.0
22,200045780,1/26/2017 15:56,0,Congestion ,101,6180,0.2,11,71.0,73.0,73.0
23,200045780,1/26/2017 15:57,0,Congestion ,101,6180,0.2,11,71.0,73.0,73.0
24,200045780,1/26/2017 15:58,0,Congestion ,101,6240,0.2,11,71.0,73.0,73.0
25,200045780,1/26/2017 15:59,0,Congestion ,101,6240,0.2,11,71.0,73.0,73.0
26,200045780,1/26/2017 16:00,0,Congestion ,101,6300,0.2,12,71.0,73.0,73.0
27,200045780,1/26/2017 16:01,0,Congestion ,103,6240,0.2,11,70.0,74.0,74.0
28,200045780,1/26/2017 16:02,0,Congestion ,101,6360,0.2,12,71.0,73.0,73.0
29,200045780,1/26/2017 16:03,0,Congestion ,101,6240,0.2,11,71.0,73.0,73.0
30,200045780,1/26/2017 16:04,0,Congestion ,101,6300,0.2,11,71.0,73.0,73.0
31,200045780,1/26/2017 16:05,0,Congestion ,101,6180,0.2,11,71.0,73.0,75.0
32,200045780,1/26/2017 16:06,0,Congestion ,101,6180,0.2,11,71.0,73.0,75.0
33,200045780,1/26/2017 16:07,0,Congestion ,101,6240,0.2,11,71.0,73.0,75.0
34,200045780,1/26/2017 16:08,0,Congestion ,101,6240,0.2,11,71.0,73.0,75.0
35,200045780,1/26/2017 16:09,0,Congestion ,101,6120,0.2,11,71.0,73.0,75.0
36,200045780,1/26/2017 16:10,0,Congestion ,103,6060,0.2,11,70.0,74.0,78.0
37,200045780,1/26/2017 16:11,0,Congestion ,103,6000,0.2,11,70.0,74.0,78.0
38,200045780,1/26/2017 16:12,0,Congestion ,103,6060,0.2,11,70.0,74.0,78.0
39,200045780,1/26/2017 16:13,0,Congestion ,103,5940,0.2,11,70.0,74.0,78.0
40,200045780,1/26/2017 16:14,0,Congestion ,103,6000,0.2,11,70.0,74.0,78.0
41,200045780,1/26/2017 16:15,0,Congestion ,103,6000,0.2,11,70.0,74.0,78.0
42,200045780,1/26/2017 16:16,0,Congestion ,103,6060,0.2,11,70.0,74.0,78.0
43,200045780,1/26/2017 16:17,0,Congestion ,103,6000,0.2,10,70.0,74.0,78.0
44,200045780,1/26/2017 16:18,0,Congestion ,103,6000,0.2,10,70.0,74.0,78.0
45,200045780,1/26/2017 16:19,0,Congestion ,103,5940,0.2,10,70.0,74.0,78.0
46,200045780,1/26/2017 16:20,0,Congestion ,105,5880,0.2,10,68.0,74.0,78.0
47,200045780,1/26/2017 16:21,0,Congestion ,105,5880,0.2,10,68.0,74.0,78.0
48,200045780,1/26/2017 16:22,0,Congestion ,105,5940,0.2,10,68.0,74.0,78.0
49,200045780,1/26/2017 16:23,0,Congestion ,105,5940,0.2,10,68.0,74.0,78.0
50,200045780,1/26/2017 16:24,0,Congestion ,103,6060,0.2,11,70.0,74.0,78.0
51,200045780,1/26/2017 16:25,0,Congestion ,103,6000,0.2,11,70.0,74.0,80.0
52,200045780,1/26/2017 16:26,0,Congestion ,103,6000,0.2,10,70.0,74.0,80.0
53,200045780,1/26/2017 16:27,0,Congestion ,103,5940,0.2,10,70.0,74.0,80.0
54,200045780,1/26/2017 16:28,0,Congestion ,103,6000,0.2,11,70.0,74.0,80.0
55,200045780,1/26/2017 16:29,0,Congestion ,103,6060,0.2,11,70.0,74.0,80.0
56,200045780,1/26/2017 16:30,0,Congestion ,103,6060,0.2,11,70.0,74.0,82.0
57,200045780,1/26/2017 16:31,0,Congestion ,101,6060,0.2,11,71.0,73.0,83.0
58,200045780,1/26/2017 16:32,0,Congestion ,101,6060,0.2,11,71.0,73.0,83.0
59,200045780,1/26/2017 16:33,0,Congestion ,101,6060,0.2,11,71.0,73.0,83.0
60,200045780,1/26/2017 16:34,0,Congestion ,100,6060,0.2,11,72.0,74.0,82.0
61,200045780,1/26/2017 16:35,0,Congestion ,100,6060,0.2,11,72.0,74.0,82.0
62,200045780,1/26/2017 16:36,0,Congestion ,100,5940,0.2,11,72.0,74.0,82.0
63,200045780,1/26/2017 16:37,0,Congestion ,100,5880,0.2,11,72.0,74.0,82.0
64,200045780,1/26/2017 16:38,0,Congestion ,100,5880,0.2,11,72.0,74.0,82.0
65,200045780,1/26/2017 16:39,0,Congestion ,100,5880,0.2,11,72.0,74.0,82.0
66,200045780,1/26/2017 16:40,0,Congestion ,98,5940,0.2,11,73.0,73.0,85.0
67,200045780,1/26/2017 16:41,0,Congestion ,98,5820,0.2,11,73.0,73.0,85.0
68,200045780,1/26/2017 16:42,0,Congestion ,98,5760,0.2,11,73.0,73.0,85.0
69,200045780,1/26/2017 16:43,0,Congestion ,97,5880,0.2,11,74.0,74.0,84.0
70,200045780,1/26/2017 16:44,0,Congestion ,97,5880,0.2,11,74.0,74.0,84.0
71,200045780,1/26/2017 16:45,0,Congestion ,97,5880,0.2,11,74.0,74.0,84.0
72,200045780,1/26/2017 16:46,0,Congestion ,97,6000,0.2,11,74.0,74.0,88.0
73,200045780,1/26/2017 16:47,0,Congestion ,97,5940,0.2,11,74.0,74.0,88.0
74,200045780,1/26/2017 16:48,0,Congestion ,97,5880,0.2,11,74.0,74.0,88.0
75,200045780,1/26/2017 16:49,0,Congestion ,95,5820,0.2,11,75.0,73.0,87.0
76,200045780,1/26/2017 16:50,0,Congestion ,93,5760,0.2,11,77.0,73.0,91.0
77,200045780,1/26/2017 16:51,0,Congestion ,93,5820,0.2,11,77.0,73.0,91.0
78,200045780,1/26/2017 16:52,0,Congestion ,93,5880,0.2,11,77.0,73.0,91.0
79,200045780,1/26/2017 16:53,0,Congestion ,93,5820,0.2,11,77.0,73.0,91.0
