,sensor,date,class,reason,speed,feat1,feat2,feat3,feat4,feat5,feat6
0,104034501,1/30/2017 4:26,0,Congestion ,106,540,1.5,2,174.0,179.0,169.0
1,104034501,1/30/2017 4:27,0,Congestion ,106,540,1.5,2,174.0,179.0,169.0
2,104034501,1/30/2017 4:28,0,Congestion ,106,540,1.5,2,174.0,184.0,169.0
3,104034501,1/30/2017 4:29,0,Congestion ,106,540,1.5,2,174.0,184.0,169.0
4,104034501,1/30/2017 4:30,0,Congestion ,107,600,1.4,2,172.0,182.0,167.0
5,104034501,1/30/2017 4:31,0,Congestion ,109,540,1.5,2,169.0,179.0,169.0
6,104034501,1/30/2017 4:32,0,Congestion ,111,540,1.5,2,166.0,181.0,166.0
7,104034501,1/30/2017 4:33,0,Congestion ,110,600,1.4,2,167.0,183.0,167.0
8,104034501,1/30/2017 4:34,0,Congestion ,110,600,1.4,2,167.0,183.0,167.0
9,104034501,1/30/2017 4:35,0,Congestion ,109,600,1.4,2,169.0,179.0,169.0
10,104034501,1/30/2017 4:36,0,Congestion ,110,660,1.4,2,167.0,183.0,167.0
11,104034501,1/30/2017 4:37,0,Congestion ,110,660,1.4,2,167.0,183.0,167.0
12,104034501,1/30/2017 4:38,0,Congestion ,110,660,1.4,2,167.0,183.0,167.0
13,104034501,1/30/2017 4:39,0,Congestion ,111,660,1.4,2,166.0,181.0,166.0
14,104034501,1/30/2017 4:40,0,Congestion ,111,780,1.3,2,166.0,181.0,171.0
15,104034501,1/30/2017 4:41,0,Congestion ,111,840,1.3,2,166.0,181.0,171.0
16,104034501,1/30/2017 4:42,0,Congestion ,113,840,1.3,2,163.0,183.0,168.0
17,104034501,1/30/2017 4:43,0,Congestion ,113,840,1.3,2,163.0,183.0,168.0
18,104034501,1/30/2017 4:44,0,Congestion ,112,840,1.3,2,164.0,180.0,169.0
19,104034501,1/30/2017 4:45,0,Congestion ,112,840,1.3,2,164.0,180.0,169.0
20,104034501,1/30/2017 4:46,0,Congestion ,112,840,1.3,2,164.0,180.0,169.0
21,104034501,1/30/2017 4:47,0,Congestion ,112,840,1.2,2,164.0,180.0,169.0
22,104034501,1/30/2017 4:48,0,Congestion ,111,840,1.2,2,166.0,181.0,171.0
23,104034501,1/30/2017 4:49,0,Congestion ,113,900,1.1,2,163.0,183.0,168.0
24,104034501,1/30/2017 4:50,0,Congestion ,113,900,1.1,2,163.0,183.0,168.0
25,104034501,1/30/2017 4:51,0,Congestion ,113,840,1.2,2,163.0,183.0,168.0
26,104034501,1/30/2017 4:52,0,Congestion ,113,780,1.2,2,163.0,183.0,173.0
27,104034501,1/30/2017 4:53,0,Congestion ,113,720,1.2,2,163.0,183.0,168.0
28,104034501,1/30/2017 4:54,0,Congestion ,113,720,1.1,2,163.0,183.0,168.0
29,104034501,1/30/2017 4:55,0,Congestion ,111,720,1.1,2,166.0,181.0,171.0
30,104034501,1/30/2017 4:56,0,Congestion ,110,720,1.2,2,167.0,183.0,172.0
31,104034501,1/30/2017 4:57,0,Congestion ,110,780,1.2,2,167.0,183.0,172.0
32,104034501,1/30/2017 4:58,0,Congestion ,111,780,1.1,2,166.0,181.0,171.0
33,104034501,1/30/2017 4:59,0,Congestion ,110,840,1.1,2,167.0,183.0,172.0
34,104034501,1/30/2017 5:00,0,Congestion ,111,840,1.2,2,166.0,181.0,171.0
35,104034501,1/30/2017 5:01,0,Congestion ,111,840,1.1,2,166.0,181.0,171.0
36,104034501,1/30/2017 5:02,0,Congestion ,110,900,1.1,2,167.0,183.0,167.0
37,104034501,1/30/2017 5:03,0,Congestion ,109,900,1.2,2,169.0,184.0,169.0
38,104034501,1/30/2017 5:04,0,Congestion ,109,960,1.1,3,169.0,184.0,169.0
