,sensor,date,class,reason,speed,feat1,feat2,feat3,feat4,feat5,feat6,predicted,user_name,followers_count,verified
0,108033502,1/26/2017 10:25,0,Congestion ,101,3420,0.3,9,28.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:26,0,Congestion ,101,3360,0.3,9,28.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:27,0,Congestion ,101,3360,0.3,9,28.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:28,0,Congestion ,101,3480,0.3,9,28.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:29,0,Congestion ,101,3420,0.3,9,28.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:30,0,Congestion ,101,3420,0.3,9,28.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:31,0,Congestion ,101,3420,0.3,9,28.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:32,0,Congestion ,101,3420,0.3,9,28.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:33,0,Congestion ,103,3420,0.3,9,27.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:34,0,Congestion ,103,3420,0.3,9,27.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:35,0,Congestion ,103,3300,0.3,8,27.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:36,0,Congestion ,101,3300,0.3,9,28.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:37,0,Congestion ,101,3300,0.3,9,28.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:38,0,Congestion ,101,3240,0.3,8,28.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:39,0,Congestion ,100,3180,0.3,8,28.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:40,0,Congestion ,100,3120,0.4,8,28.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:41,0,Congestion ,100,3060,0.4,8,28.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:42,0,Congestion ,98,3060,0.4,8,29.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:43,0,Congestion ,97,3000,0.4,8,29.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:44,1,Congestion ,93,3120,0.3,9,30.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:45,1,Congestion ,93,3060,0.3,9,30.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:46,1,Congestion ,92,2940,0.3,9,30.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:47,1,Congestion ,92,2940,0.3,9,30.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:48,1,Congestion ,90,3000,0.4,9,31.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:49,1,Congestion ,90,2940,0.4,9,31.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:50,1,Congestion ,89,2880,0.4,8,31.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:51,1,Congestion ,89,3000,0.4,9,31.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:52,1,Congestion ,87,3060,0.4,9,32.0,29.0,27.0,2,,0,0
0,108033502,1/26/2017 10:53,1,Congestion ,85,3000,0.4,9,33.0,29.0,27.0,2,,0,0
0,108033502,1/26/2017 10:54,1,Congestion ,84,3120,0.4,10,33.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:55,1,Congestion ,80,3000,0.4,11,35.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:56,1,Congestion ,74,2880,0.4,13,38.0,28.0,28.0,2,,0,0
0,108033502,1/26/2017 10:57,1,Congestion ,71,2700,0.4,16,39.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:58,1,Congestion ,68,2520,0.4,20,41.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 10:59,1,Congestion ,61,2460,0.4,24,46.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 11:00,1,Congestion ,56,2520,0.4,25,50.0,29.0,27.0,2,,0,0
0,108033502,1/26/2017 11:01,1,Congestion ,51,2700,0.4,27,55.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 11:02,1,Congestion ,48,2700,0.4,28,58.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 11:03,1,Congestion ,42,2640,0.4,31,67.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 11:04,1,Congestion ,34,2400,0.5,35,82.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 11:05,1,Congestion ,31,2340,0.5,37,90.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 11:06,1,Congestion ,27,2100,0.5,38,104.0,29.0,27.0,2,,0,0
0,108033502,1/26/2017 11:07,1,Congestion ,27,2100,0.5,39,104.0,29.0,27.0,2,,0,0
0,108033502,1/26/2017 11:09,1,Congestion ,32,2400,0.4,35,87.0,29.0,28.0,2,,0,0
0,108033502,1/26/2017 11:10,1,Congestion ,39,2700,0.4,32,72.0,29.0,27.0,2,,0,0
0,108033502,1/26/2017 11:11,1,Congestion ,45,2940,0.4,28,62.0,29.0,27.0,2,,0,0
