,sensor,date,class,reason,speed,feat1,feat2,feat3,feat4,feat5,feat6,predicted,user_name,followers_count,verified
0,108024702,1/30/2017 15:09,0,Congestion ,105,3060,0.4,8,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:10,0,Congestion ,106,3060,0.4,8,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:11,0,Congestion ,105,3060,0.4,8,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:12,0,Congestion ,103,3300,0.3,9,25.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:13,0,Congestion ,103,3420,0.3,9,25.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:14,0,Congestion ,105,3420,0.3,9,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:15,0,Congestion ,103,3540,0.3,9,25.0,27.0,24.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:16,0,Congestion ,103,3480,0.3,9,25.0,27.0,24.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:17,0,Congestion ,103,3540,0.3,9,25.0,27.0,24.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:18,0,Congestion ,103,3600,0.3,10,25.0,27.0,24.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:19,0,Congestion ,103,3660,0.3,10,25.0,27.0,24.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:20,0,Congestion ,103,3540,0.3,9,25.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:21,0,Congestion ,103,3540,0.3,9,25.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:22,0,Congestion ,105,3420,0.3,9,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:23,0,Congestion ,105,3420,0.3,9,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:24,0,Congestion ,106,3360,0.3,9,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:25,0,Congestion ,106,3360,0.3,9,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:26,0,Congestion ,106,3300,0.3,9,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:27,0,Congestion ,106,3360,0.3,9,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:28,0,Congestion ,106,3420,0.3,9,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:29,0,Congestion ,106,3420,0.3,9,24.0,27.0,25.0,2.0,,0.0,0.0
0,108024702,1/30/2017 15:30,0,Congestion ,106,3420,0.3,9,24.0,27.0,25.0,2.0,,0.0,0.0
