,sensor,date,class,reason,speed,feat1,feat2,feat3,feat4,feat5,feat6,predicted,user_name,followers_count,verified
0,104034201,1/30/2017 4:05,0,Congestion ,97,720,1.7,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:06,0,Congestion ,97,720,1.6,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:07,0,Congestion ,98,720,1.6,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:08,0,Congestion ,98,720,1.6,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:09,0,Congestion ,98,720,1.6,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:10,0,Congestion ,98,720,1.6,2,24.0,24.0,25.0,2,,0,0
0,104034201,1/30/2017 4:11,0,Congestion ,98,720,1.6,2,24.0,24.0,25.0,2,,0,0
0,104034201,1/30/2017 4:12,0,Congestion ,98,720,1.6,2,24.0,24.0,25.0,2,,0,0
0,104034201,1/30/2017 4:13,0,Congestion ,98,720,1.6,2,24.0,24.0,25.0,2,,0,0
0,104034201,1/30/2017 4:14,0,Congestion ,98,720,1.6,2,24.0,24.0,25.0,2,,0,0
0,104034201,1/30/2017 4:15,0,Congestion ,98,720,1.6,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:16,0,Congestion ,98,720,1.5,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:17,0,Congestion ,98,720,1.5,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:18,0,Congestion ,98,780,1.5,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:19,0,Congestion ,98,780,1.5,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:20,0,Congestion ,98,840,1.5,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:21,0,Congestion ,98,840,1.5,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:22,0,Congestion ,98,900,1.5,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:23,0,Congestion ,98,840,1.5,2,24.0,24.0,24.0,2,,0,0
0,104034201,1/30/2017 4:24,0,Congestion ,98,840,1.5,2,24.0,24.0,24.0,2,,0,0
