,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause,class
0,8.163527151399076e+17,Slow on #M25 clockwise btwn J24 Potters Bar &amp; J25 Enfield as the inside lane is blocked after an accident. Fi,2017-01-03T18:37:09.000Z,22595388.0,BBC Radio London Travel,The original traffic & travel tweet service for London from the BBC. Broadcasts on @BBCRadioLondon and updates on @BBCLondonNews,142155.0,1.0,slow accident block,0
0,8.163874368760668e+17,Our traffic officers are on scene and recovery is en route for the collision on the #M25 clockwise between J25 - J2… …,2017-01-03T20:55:07.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,officer collision,0
0,8.17447155577344e+17,#M25 clockwise between J24 and J25 - Accident - Full details at https://t.co/l5EmoAw0RN,2017-01-06T19:06:03.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,accident full,1
0,8.174471565462364e+17,#M25 clockwise between J24 and J25 - Accident - Full details at https://t.co/LwI3prBa31,2017-01-06T19:06:04.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,accident full,1
0,8.174471693302948e+17,M25 clockwise between J24 and J25 | Accident https://t.co/OpmOiN6xJM,2017-01-06T19:06:07.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0,accident,1
0,8.174473676455322e+17,M25 clockwise between J24 and J25 | Accident https://t.co/tlPPPPx5JR Thx 2 HW England,2017-01-06T19:06:54.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,accident,1
0,8.174479114579804e+17,#M25 clockwise between J24 and J25 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-06T19:09:04.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,conges full,1
0,8.174479124437074e+17,#M25 clockwise between J24 and J25 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-06T19:09:04.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,conges full,1
0,8.174578652290744e+17,#방탄소년단 #love #GOT7M25 clockwise between J24 and J25 | Clockwise | Accident https://t.co/9GP25TH0bt #travel #traveling,2017-01-06T19:48:37.000Z,471002654.0,Travel,,12.0,0.0,accident,1
0,8.210477960652472e+17,#M25 - mEDIUM - Hertfordshire Clockwise - Accident - Between J24 for A111 Hertfordshire and J25 for A10 London,2017-01-16T17:33:43.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,accident,0
0,8.210627356978422e+17,#M25 clockwise between J24 and J25 | Congestion https://t.co/kvug4Hlc8E,2017-01-16T18:33:05.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0,conges,0
0,8.210634998540042e+17,#M25 clockwise between J24 and J25 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-16T18:36:07.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,conges full,0
0,8.210635010829271e+17,#M25 clockwise between J24 and J25 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-16T18:36:07.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,conges full,0
0,8.210635407442657e+17,#M25 clockwise between J24 and J25 | Congestion https://t.co/5NUZDfZAzY Thx 2 HW England,2017-01-16T18:36:17.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges,0
