,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause,class
0,8.174789895853384e+17,M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Vehicle Recovery,2017-01-06T21:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,,1
0,8.174789946269123e+17,M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Vehicle Recovery https://t.co/F773rA0ykO,2017-01-06T21:12:35.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0,,1
0,8.17479386874028e+17,M25 anti-clockwise between J6 and J5 | Vehicle Recovery https://t.co/bn9V368rSF,2017-01-06T21:14:08.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0,,1
0,8.174814818115338e+17,M25 anti-clockwise between J6 and J5 | Vehicle Recovery https://t.co/mjJoY1OgMG Thx 2 HW England,2017-01-06T21:22:27.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,,1
0,8.257633264078234e+17,M25 anti-clockwise between J6 and J5 | Vehicle Obstruction https://t.co/MKALcsBIAP,2017-01-29T17:51:33.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0,obstruct,1
0,8.257639585482056e+17,#M25 anti-clockwise between J6 and J5 - Vehicle Obstruction - Full details at https://t.co/l5EmoAw0RN,2017-01-29T17:54:04.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,obstruct full,1
0,8.257639595254743e+17,#M25 anti-clockwise between J6 and J5 - Vehicle Obstruction - Full details at https://t.co/LwI3prBa31,2017-01-29T17:54:04.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,obstruct full,1
0,8.257642074842849e+17,M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Vehicle Obstruction,2017-01-29T17:55:03.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,obstruct,1
0,8.257646251027988e+17,M25 anti-clockwise between J6 and J5 | Vehicle Obstruction https://t.co/JSrLNEeGa9 Thx 2 HW England,2017-01-29T17:56:43.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,obstruct,1
0,8.257659758741627e+17,M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Vehicle Obstruction https://t.co/GbPyGEWHPo,2017-01-29T18:02:05.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0,obstruct,1
0,8.25772400209834e+17,M25 anti-clockwise between J6 and J5 | Broken down vehicle https://t.co/QffggrONHn,2017-01-29T18:27:36.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0,down broken,1
0,8.257730345356042e+17,#M25 anti-clockwise between J6 and J5 - Broken down vehicle - Full details at https://t.co/l5EmoAw0RN,2017-01-29T18:30:08.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,down broken full,1
0,8.257730357561467e+17,#M25 anti-clockwise between J6 and J5 - Broken down vehicle - Full details at https://t.co/LwI3prBa31,2017-01-29T18:30:08.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,down broken full,1
0,8.257734597037343e+17,M25 anti-clockwise between J6 and J5 | Broken down vehicle https://t.co/23Wbzbimbd Thx 2 HW England,2017-01-29T18:31:49.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,down broken,1
0,8.257737747839304e+17,M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Broken down vehicle,2017-01-29T18:33:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,down broken,1
0,8.257737807440978e+17,M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Broken down vehicle https://t.co/nDTHU3aUK0,2017-01-29T18:33:06.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0,down broken,1
0,8.257835907765084e+17,M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Congestion,2017-01-29T19:12:05.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges,1
0,8.25783602466136e+17,#M25 anti-clockwise between J6 and J5 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-29T19:12:07.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,conges full,1
0,8.257836036783063e+17,#M25 anti-clockwise between J6 and J5 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-29T19:12:08.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,conges full,1
